GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2013,2013,2013,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.00945,0,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2000,2000,2000,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,4.55631,4.6,,
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,2009,2009,2009,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,52.42952,52.4 [48.6-56.6],48.61045,56.57618
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,2002,2002,2002,AFR,Africa,UGA,Uganda,SEX,SEX_MLE,Male,4070.0,4070 [3384-4847],3384.0,4847.0
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,1996,1996,1996,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,19.48083,19.5 [16.7-22.7],16.68792,22.68677
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2000,2000,2000,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,344.3037,344.3,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2003,2003,2003,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,2935.35486,2935,,
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,2021,2021,2021,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,67643.0,67 643 [47 243-95 504],47243.0,95504.0
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2011,2011,2011,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.00984,0,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2005,2005,2005,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,10.55375,10.6,,
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,1997,1997,1997,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,88.97284,89.0 [83.2-94.8],83.18426,94.75054
CM_02,Number of infant deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-infant-deaths,1960,1960,1960,AFR,Africa,UGA,Uganda,SEX,SEX_MLE,Male,24356.0,24 356 [21 130-27 991],21130.0,27991.0
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2004,2004,2004,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,15.01681,15,,
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2000,2000,2000,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,26.31713,26.3 [21.9-30.9],21.87427,30.90388
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,2003,2003,2003,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,123.05813,123.1 [115.6-131.2],115.55966,131.1789
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2006,2006,2006,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.2875,0.3,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2011,2011,2011,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,7.75255,7.8,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2020,2020,2020,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,3291.3237,3291,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2000,2000,2000,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,1.19432,1.2,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2002,2002,2002,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.31804,0.3,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2012,2012,2012,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.0504,0.1,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2004,2004,2004,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,2.90021,2.9,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2016,2016,2016,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,2.41805,2.4,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2006,2006,2006,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,1226.74744,1226.7,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,1972,1972,1972,AFR,Africa,UGA,Uganda,SEX,SEX_MLE,Male,206.02275,206.0 [185.3-228.7],185.32526,228.73713
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2018,2018,2018,AFR,Africa,UGA,Uganda,SEX,SEX_MLE,Male,14.77118,14.8 [10.2-20.8],10.20862,20.82787
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2017,2017,2017,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,57.8823,58,,
CM_03,Number of neonatal deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-neonatal-deaths,2021,2021,2021,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,31250.0,31 250 [20 947-45 429],20947.0,45429.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2015,2015,2015,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,0.0,0.0,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2001,2001,2001,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.63275,0.6,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2010,2010,2010,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.04452,0,,
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,1969,1969,1969,AFR,Africa,UGA,Uganda,SEX,SEX_MLE,Male,117.36868,117.4 [104.0-132.2],103.99967,132.1756
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2006,2006,2006,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,21.07049,21.1,,
CHILDDEATH5TO14,Number of deaths among children 5 to 14 years of age,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-children-ages-5-to-14-years,2018,2018,2018,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,17230.0,17 230 [13 144-22 971],13144.0,22971.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2008,2008,2008,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,9091.06989,9091.1,,
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,1991,1991,1991,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,71530.0,71 530 [67 094-76 127],67094.0,76127.0
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2013,2013,2013,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,3.9028,3.9,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2012,2012,2012,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.00041,0,,
WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-rate-among-children-ages-5-to-9-years-%28per-1000-children-aged-5%29,1999,1999,1999,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,15.34954,15.3 [13.7-17.2],13.74081,17.22343
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2009,2009,2009,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.06496,0.1,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2014,2014,2014,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,6.48299,6.5,,
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,2008,2008,2008,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,16478.0,16 478 [14 594-18 571],14594.0,18571.0
CHILDDEATH5TO14,Number of deaths among children 5 to 14 years of age,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-children-ages-5-to-14-years,1991,1991,1991,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,7395.0,7395 [6489-8435],6489.0,8435.0
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,1998,1998,1998,AFR,Africa,UGA,Uganda,SEX,SEX_MLE,Male,16.83288,16.8 [14.0-20.0],14.04033,20.0412
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2007,2007,2007,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,12.08699,12.1 [10.1-14.3],10.10187,14.32035
CM_02,Number of infant deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-infant-deaths,1989,1989,1989,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,91370.0,91 370 [86 020-97 051],86020.0,97051.0
CM_04,Number of deaths among children ages 5 to 9 years,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-children-ages-5-to-9-years,1990,1990,1990,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,10474.0,10 474 [9127-12 094],9127.0,12094.0
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2000,2000,2000,AFR,Africa,UGA,Uganda,SEX,SEX_MLE,Male,15.76622,15.8 [13.2-18.7],13.16131,18.71282
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2013,2013,2013,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,6.08419,6.1 [2.3-10.3],2.3103,10.3202
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2009,2009,2009,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.00702,0,,
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,1962,1962,1962,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,79686.0,79 686 [69 827-91 397],69827.0,91397.0
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,2010,2010,2010,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,46022.0,46 022 [42 278-49 928],42278.0,49928.0
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,2002,2002,2002,AFR,Africa,UGA,Uganda,SEX,SEX_MLE,Male,2674.0,2674 [1546-3861],1546.0,3861.0
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2003,2003,2003,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,7.85474,7.9,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2000,2000,2000,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,1.60308,1.6,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2007,2007,2007,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,10419.02416,10419.0,,
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,2015,2015,2015,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,17343.0,17 343 [14 710-20 470],14710.0,20470.0
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2012,2012,2012,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,8.88824,8.9,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2010,2010,2010,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.00681,0,,
CM_02,Number of infant deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-infant-deaths,1967,1967,1967,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,22228.0,22 228 [19 601-25 259],19601.0,25259.0
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2001,2001,2001,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.04012,0,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2009,2009,2009,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.18382,0.2,,
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,2005,2005,2005,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,6789.0,6789 [5378-8325],5378.0,8325.0
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,1953,1953,1953,AFR,Africa,UGA,Uganda,SEX,SEX_MLE,Male,151.42742,151.4 [112.4-204.0],112.35589,203.97794
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2000,2000,2000,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,633.53649,633.5,,
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,1966,1966,1966,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,38436.0,38 436 [33 838-43 647],33838.0,43647.0
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2001,2001,2001,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.0,0,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2013,2013,2013,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.15041,0.2,,
CHILDDEATH5TO14,Number of deaths among children 5 to 14 years of age,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-children-ages-5-to-14-years,2000,2000,2000,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,8370.0,8370 [7408-9457],7408.0,9457.0
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2002,2002,2002,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.07509,0.1,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2014,2014,2014,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,2.11698,2.1,,
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,1992,1992,1992,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,23617.0,23 617 [21 043-26 386],21043.0,26386.0
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,1999,1999,1999,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,152.81588,152.8 [140.9-165.3],140.91769,165.27484
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2004,2004,2004,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.14566,0.1,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2013,2013,2013,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,6.33635,6.3,,
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,2021,2021,2021,AFR,Africa,UGA,Uganda,SEX,SEX_MLE,Male,32.60833,32.6 [22.8-46.2],22.76389,46.17329
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,2023,2023,2023,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,38.80768,38.8 [25.2-58.5],25.24679,58.53436
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,2014,2014,2014,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,53.18063,53.2 [47.1-60.0],47.1104,60.01174
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,2017,2017,2017,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,10608.0,10 608 [8344-13 434],8344.0,13434.0
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2007,2007,2007,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.35046,0.4,,
CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-rate-for-5-14-year-olds-%28probability-of-dying-per-1000-children-aged-5-14-years%29,2007,2007,2007,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,18.63624,18.6 [16.1-21.5],16.06126,21.45017
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2011,2011,2011,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,8.0896,8.1,,
CM_02,Number of infant deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-infant-deaths,1966,1966,1966,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,21819.0,21 819 [19 165-24 826],19165.0,24826.0
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,2002,2002,2002,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,31493.0,31 493 [28 562-34 653],28562.0,34653.0
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2001,2001,2001,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,4.34064,4.3,,
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,1965,1965,1965,AFR,Africa,UGA,Uganda,SEX,SEX_MLE,Male,44191.0,44 191 [38 895-50 285],38895.0,50285.0
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,1995,1995,1995,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,2238.0,2238 [1251-3315],1251.0,3315.0
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2007,2007,2007,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,18.85757,18.9,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2009,2009,2009,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,152.18092,152.2,,
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,1995,1995,1995,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,8747.0,8747 [7461-10 250],7461.0,10250.0
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,1965,1965,1965,AFR,Africa,UGA,Uganda,SEX,SEX_MLE,Male,218.31022,218.3 [192.2-248.9],192.19817,248.88991
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2019,2019,2019,AFR,Africa,UGA,Uganda,SEX,SEX_MLE,Male,20.24902,20.2 [13.9-28.7],13.92588,28.74764
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,1976,1976,1976,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,117.66168,117.7 [108.2-128.3],108.17806,128.32517
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2011,2011,2011,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,3745.85724,3745.9,,
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,2009,2009,2009,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,21588.0,21 588 [19 624-23 654],19624.0,23654.0
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2012,2012,2012,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.02291,0,,
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2010,2010,2010,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,9.92082,9.9 [7.9-12.4],7.87686,12.41313
